"Geography","Year","Question Code","Question Text","Response Category","Response Variable","Gender","Value"
"Indonesia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",6.55
"Indonesia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",10.00
"Indonesia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",8.01
"India",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",5.99
"India",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",8.23
"India",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",7.27
"Malaysia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",7.36
"Malaysia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",10.78
"Malaysia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",9.70
"Australia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",7.78
"Australia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",10.07
"Australia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",8.37
"Philippines",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",7.57
"Philippines",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",0.65
"Philippines",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",8.80
"Taiwan",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",6.23
"Taiwan",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",6.88
"Taiwan",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",6.58
"Japan",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",6.68
"Japan",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",9.57
"Japan",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",7.12
"Thailand",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",7.85
"Thailand",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",9.63
"Thailand",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",8.33
"Cambodia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",11.75
"Cambodia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",14.89
"Cambodia",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",13.80
"Myanmar",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",6.63
"Myanmar",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",9.52
"Myanmar",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",8.49
"Indonesia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",2.71
"Indonesia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",4.74
"Indonesia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",3.65
"India",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",2.25
"India",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",3.40
"India",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",2.93
"Malaysia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",2.60
"Malaysia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",3.56
"Malaysia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",3.20
"Australia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",4.70
"Australia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",4.98
"Australia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",4.78
"Philippines",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",2.64
"Philippines",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",3.95
"Philippines",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",3.38
"Taiwan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",3.49
"Taiwan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",4.22
"Taiwan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",3.87
"Japan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",4.02
"Japan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",6.28
"Japan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",4.46
"Thailand",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",4.09
"Thailand",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",5.17
"Thailand",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",4.49
"Cambodia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",3.95
"Cambodia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",5.68
"Cambodia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",5.09
"Myanmar",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",2.94
"Myanmar",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",3.39
"Myanmar",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",3.27
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",16.00
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",12.00
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",14.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",22.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",12.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",19.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",16.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",11.00
