activity,male_rural,female_rural,person_rural,male_urban,female_urban,person_urban,male_all,female_all,person_all
Employment and related activities,16.9,4.2,10.6,21.3,4.3,13.1,18.3,4.2,11.4
Production of goods for own final use,2.7,2.2,2.4,0.3,0.3,0.3,1.9,1.6,1.8
Unpaid domestic services for household members,1.9,17.2,9.4,1.5,16.1,8.6,1.7,16.9,9.2
Unpaid caregiving services for household members,0.8,2.6,1.7,0.7,2.5,1.6,0.8,2.6,1.7
"Unpaid volunteer, trainee and other unpaid work",0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1
Learning,7.1,5.7,6.4,7.0,6.1,6.6,7.1,5.8,6.5
"Socializing and communication, community participation and religious practice",9.6,8.8,9.2,8.7,8.8,8.8,9.3,8.8,9.0
"Culture, leisure, mass-media and sports practices",9.7,9.0,9.4,10.9,11.7,11.3,10.1,9.8,9.9
Self-care and maintenance,51.2,50.3,50.8,49.4,50.0,49.7,50.6,50.2,50.4
Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
