year,sex,age_group,activity,units,activity_long,Number of people,Average
2002,Male,"(15,25]",lsemp,Combined,Paid employment,1151,24.16522988505747
2002,Male,"(15,25]",lscom,Combined,Travelling to/from paid employment,1151,2.1707023670935195
2002,Male,"(15,25]",lserr,Combined,Household errands,1151,1.7235202492211839
2002,Male,"(15,25]",lshw,Combined,Housework,1151,3.7128367975365664
2002,Male,"(15,25]",lsod,Combined,Outdoor tasks,1151,2.3788966049382716
2002,Male,"(15,25]",lschd,Combined,Playing with your children,1151,1.3490148773622839
2002,Male,"(15,25]",lsocd,Combined,Playing with other peoples children,1151,0.4807385229540918
2002,Male,"(15,25]",lsvol,Combined,Volunteer/Charity work,1151,0.43575139888089526
2002,Male,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1151,0.18014440433212997
2002,Male,"(25,35]",lsemp,Combined,Paid employment,1229,40.443269873079494
2002,Male,"(25,35]",lscom,Combined,Travelling to/from paid employment,1229,3.9251173708920186
2002,Male,"(25,35]",lserr,Combined,Household errands,1229,2.7083918421932465
2002,Male,"(25,35]",lshw,Combined,Housework,1229,5.843779108449767
2002,Male,"(25,35]",lsod,Combined,Outdoor tasks,1229,4.091374708041375
2002,Male,"(25,35]",lschd,Combined,Playing with your children,1229,7.103195164075993
2002,Male,"(25,35]",lsocd,Combined,Playing with other peoples children,1229,0.3676315789473684
2002,Male,"(25,35]",lsvol,Combined,Volunteer/Charity work,1229,0.5033438929954241
2002,Male,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1229,0.2375923970432946
2002,Male,"(35,45]",lsemp,Combined,Paid employment,1439,40.13962472406181
2002,Male,"(35,45]",lscom,Combined,Travelling to/from paid employment,1439,3.9458921161825726
2002,Male,"(35,45]",lserr,Combined,Household errands,1439,2.976342746400886
2002,Male,"(35,45]",lshw,Combined,Housework,1439,6.111794019933555
2002,Male,"(35,45]",lsod,Combined,Outdoor tasks,1439,5.412190082644628
2002,Male,"(35,45]",lschd,Combined,Playing with your children,1439,7.950027917364601
2002,Male,"(35,45]",lsocd,Combined,Playing with other peoples children,1439,0.36562950158455776
2002,Male,"(35,45]",lsvol,Combined,Volunteer/Charity work,1439,0.7256675279931094
2002,Male,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1439,0.42691078174949143
2002,Male,"(45,55]",lsemp,Combined,Paid employment,1174,36.92933673469388
2002,Male,"(45,55]",lscom,Combined,Travelling to/from paid employment,1174,3.4232265840220384
2002,Male,"(45,55]",lserr,Combined,Household errands,1174,3.071966598500341
2002,Male,"(45,55]",lshw,Combined,Housework,1174,5.896728016359918
